scenario,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,DPG,EOG
Baseline,0.8352,0.8347945533867916,0.8347762266997512,0.8346765472524895,0.9181549963592719,0.029014822063761925,0.04034708876933766
Bias-Mitigation,0.8329333333333333,0.8357491430576521,0.8336978468784422,0.8323286627273889,0.9181549963592719,0.0442066661978822,9.572061449238944e-05
Drift,0.8014666666666667,0.8008720323646583,0.8008467097234476,0.800767254896901,0.8763635429528875,0.026562605888266845,0.06456520178621313
Noise,0.7807999999999999,0.7801031072631449,0.7803179928262616,0.7801458054140766,0.8686608694622873,0.016569591486088553,0.04111260256617488
Typos,0.8354666666666667,0.8350378885883017,0.8350646220949669,0.8349516633564162,0.9181606112276013,0.029028355969836828,0.03934060578815888
